Date,Adj Close
2023/1/1,16625.08008
2023/1/2,16688.4707
2023/1/3,16679.85742
2023/1/4,16863.23828
2023/1/5,16836.73633
2023/1/6,16951.96875
2023/1/7,16955.07813
2023/1/8,17091.14453
2023/1/9,17196.55469
2023/1/10,17446.29297
2023/1/11,17934.89648
2023/1/12,18869.58789
2023/1/13,19909.57422
2023/1/14,20976.29883
2023/1/15,20880.79883
2023/1/16,21169.63281
2023/1/17,21161.51953
2023/1/18,20688.78125
2023/1/19,21086.79297
2023/1/20,22676.55273
2023/1/21,22777.625
2023/1/22,22720.41602
2023/1/23,22934.43164
2023/1/24,22636.46875
2023/1/25,23117.85938
2023/1/26,23032.77734
2023/1/27,23078.72852
2023/1/28,23031.08984
2023/1/29,23774.56641
2023/1/30,22840.13867
2023/1/31,23139.2832
2023/2/1,23723.76953
2023/2/2,23471.87109
2023/2/3,23449.32227
2023/2/4,23331.84766
2023/2/5,22955.66602
2023/2/6,22760.10938
2023/2/7,23264.29102
2023/2/8,22939.39844
2023/2/9,21819.03906
2023/2/10,21651.18359
2023/2/11,21870.875
2023/2/12,21788.20313
2023/2/13,21808.10156
2023/2/14,22220.80469
2023/2/15,24307.8418
2023/2/16,23623.47461
2023/2/17,24565.60156
2023/2/18,24641.27734
2023/2/19,24327.64258
2023/2/20,24829.14844
2023/2/21,24436.35352
2023/2/22,24188.84375
2023/2/23,23947.49219
2023/2/24,23198.12695
2023/2/25,23175.375
2023/2/26,23561.21289
2023/2/27,23522.87109
2023/2/28,23147.35352
2023/3/1,23646.55078
2023/3/2,23475.4668
2023/3/3,22362.67969
2023/3/4,22353.34961
2023/3/5,22435.51367
2023/3/6,22429.75781
2023/3/7,22219.76953
2023/3/8,21718.08008
2023/3/9,20363.02148
2023/3/10,20187.24414
2023/3/11,20632.41016
2023/3/12,22163.94922
2023/3/13,24197.5332
2023/3/14,24746.07422
2023/3/15,24375.96094
2023/3/16,25052.78906
2023/3/17,27423.92969
2023/3/18,26965.87891
2023/3/19,28038.67578
2023/3/20,27767.23633
2023/3/21,28175.81641
2023/3/22,27307.4375
2023/3/23,28333.97266
2023/3/24,27493.28516
2023/3/25,27494.70703
2023/3/26,27994.33008
2023/3/27,27139.88867
2023/3/28,27268.13086
2023/3/29,28348.44141
2023/3/30,28033.5625
2023/3/31,28478.48438
2023/4/1,28411.03516
2023/4/2,28199.30859
2023/4/3,27790.2207
2023/4/4,28168.08984
2023/4/5,28177.98438
2023/4/6,28044.14063
2023/4/7,27925.85938
2023/4/8,27947.79492
2023/4/9,28333.05078
2023/4/10,29652.98047
2023/4/11,30235.05859
2023/4/12,30139.05273
2023/4/13,30399.06641
2023/4/14,30485.69922
2023/4/15,30318.49609
2023/4/16,30315.35547
2023/4/17,29445.04492
2023/4/18,30397.55273
2023/4/19,28822.67969
2023/4/20,28245.98828
2023/4/21,27276.91016
2023/4/22,27817.5
2023/4/23,27591.38477
2023/4/24,27525.33984
2023/4/25,28307.59766
2023/4/26,28422.70117
2023/4/27,29473.78711
2023/4/28,29340.26172
2023/4/29,29248.48828
2023/4/30,29268.80664
2023/5/1,28091.56836
2023/5/2,28680.53711
2023/5/3,29006.30859
2023/5/4,28847.71094
2023/5/5,29534.38477
2023/5/6,28904.62305
2023/5/7,28454.97852
2023/5/8,27694.27344
2023/5/9,27658.77539
2023/5/10,27621.75586
2023/5/11,27000.78906
2023/5/12,26804.99023
2023/5/13,26784.07813
2023/5/14,26930.63867
2023/5/15,27192.69336
2023/5/16,27036.65039
2023/5/17,27398.80273
2023/5/18,26832.20898
2023/5/19,26890.12891
2023/5/20,27129.58594
2023/5/21,26753.82617
2023/5/22,26851.27734
2023/5/23,27225.72656
2023/5/24,26334.81836
2023/5/25,26476.20703
2023/5/26,26719.29102
2023/5/27,26868.35352
2023/5/28,28085.64648
2023/5/29,27745.88477
2023/5/30,27702.34961
2023/5/31,27219.6582
2023/6/1,26819.97266
2023/6/2,27249.58984
2023/6/3,27075.12891
2023/6/4,27119.06641
2023/6/5,25760.09766
2023/6/6,27238.7832
2023/6/7,26345.99805
2023/6/8,26508.2168
2023/6/9,26480.375
2023/6/10,25851.24023
2023/6/11,25940.16797
2023/6/12,25902.5
2023/6/13,25918.72852
2023/6/14,25124.67578
2023/6/15,25576.39453
2023/6/16,26327.46289
2023/6/17,26510.67578
2023/6/18,26336.21289
2023/6/19,26851.0293
2023/6/20,28327.48828
2023/6/21,30027.29688
2023/6/22,29912.28125
2023/6/23,30695.46875
2023/6/24,30548.69531
2023/6/25,30480.26172
2023/6/26,30271.13086
2023/6/27,30688.16406
2023/6/28,30086.24609
2023/6/29,30445.35156
2023/6/30,30477.25195
2023/7/1,30590.07813
2023/7/2,30620.76953
2023/7/3,31156.43945
2023/7/4,30777.58203
2023/7/5,30514.16602
2023/7/6,29909.33789
2023/7/7,30342.26563
2023/7/8,30292.54102
2023/7/9,30171.23438
2023/7/10,30414.4707
2023/7/11,30620.95117
2023/7/12,30391.64648
2023/7/13,31476.04883
2023/7/14,30334.06836
2023/7/15,30295.80664
2023/7/16,30249.13281
2023/7/17,30145.88867
2023/7/18,29856.5625
2023/7/19,29913.92383
2023/7/20,29792.01563
2023/7/21,29908.74414
2023/7/22,29771.80273
2023/7/23,30084.53906
2023/7/24,29176.91602
2023/7/25,29227.39063
2023/7/26,29354.97266
2023/7/27,29210.68945
2023/7/28,29319.24609
2023/7/29,29356.91797
2023/7/30,29275.30859
2023/7/31,29230.11133
2023/8/1,29675.73242
2023/8/2,29151.95898
2023/8/3,29178.67969
2023/8/4,29074.0918
2023/8/5,29042.12695
2023/8/6,29041.85547
2023/8/7,29180.57813
2023/8/8,29765.49219
2023/8/9,29561.49414
2023/8/10,29429.5918
2023/8/11,29397.71484
2023/8/12,29415.96484
2023/8/13,29282.91406
2023/8/14,29408.44336
2023/8/15,29170.34766
2023/8/16,28701.7793
2023/8/17,26664.55078
2023/8/18,26049.55664
2023/8/19,26096.20508
2023/8/20,26189.58398
2023/8/21,26124.14063
2023/8/22,26031.65625
2023/8/23,26431.64063
2023/8/24,26162.37305
2023/8/25,26047.66797
2023/8/26,26008.46289
2023/8/27,26089.69336
2023/8/28,26106.15039
2023/8/29,27727.39258
2023/8/30,27297.26563
2023/8/31,25931.47266
2023/9/1,25800.72461
2023/9/2,25868.79883
2023/9/3,25969.56641
2023/9/4,25812.41602
2023/9/5,25779.98242
2023/9/6,25753.23633
2023/9/7,26240.19531
2023/9/8,25905.6543
2023/9/9,25895.67773
2023/9/10,25832.22656
2023/9/11,25162.6543
2023/9/12,25833.34375
2023/9/13,26228.32422
2023/9/14,26539.67383
2023/9/15,26608.69336
2023/9/16,26568.28125
2023/9/17,26534.1875
2023/9/18,26754.28125
2023/9/19,27211.11719
2023/9/20,27132.00781
2023/9/21,26567.63281
2023/9/22,26579.56836
2023/9/23,26579.39063
2023/9/24,26256.82617
2023/9/25,26298.48047
2023/9/26,26217.25
2023/9/27,26352.7168
2023/9/28,27021.54688
2023/9/29,26911.7207
2023/9/30,26967.91602
2023/10/1,27983.75
2023/10/2,27530.78516
2023/10/3,27429.97852
2023/10/4,27799.39453
2023/10/5,27415.91211
2023/10/6,27946.59766
2023/10/7,27968.83984
2023/10/8,27935.08984
2023/10/9,27583.67773
2023/10/10,27391.01953
2023/10/11,26873.32031
2023/10/12,26756.79883
2023/10/13,26862.375
2023/10/14,26861.70703
2023/10/15,27159.65234
2023/10/16,28519.4668
2023/10/17,28415.74805
2023/10/18,28328.3418
2023/10/19,28719.80664
2023/10/20,29682.94922
2023/10/21,29918.41211
2023/10/22,29993.89648
2023/10/23,33086.23438
2023/10/24,33901.52734
2023/10/25,34502.82031
2023/10/26,34156.64844
2023/10/27,33909.80078
2023/10/28,34089.57422
2023/10/29,34088.5
